-114.946,62.930,125.059,18
-132.266,-12.080,125.059,18
-132.194,-12.389,125.274,18
-148.863,-132.706,125.519,18
-150.970,-264.817,125.380,18
-151.411,-264.895,125.478,18
-140.868,-382.340,125.478,18
-117.448,-482.324,125.478,18
-74.403,-560.677,125.478,18
-22.165,-611.898,125.478,18
25.483,-640.458,125.478,18
89.318,-660.155,126.830,18
154.698,-662.706,126.830,18
154.740,-662.657,126.754,18
220.402,-649.214,127.007,18
272.415,-622.406,127.007,18
318.324,-585.267,127.007,18
359.548,-533.435,127.007,18
359.808,-533.180,126.401,18
389.577,-471.030,126.401,18
413.199,-397.475,126.401,18
446.342,-268.588,126.401,18
446.670,-267.252,123.874,18
566.393,236.051,123.874,18
566.163,236.495,124.214,18
579.942,298.970,124.214,18
582.367,363.281,124.214,18
569.727,439.573,124.214,18
550.206,487.678,124.214,18
549.878,488.197,126.987,18
514.778,535.753,126.987,18
475.259,572.765,126.987,18
435.390,597.784,127.115,18
378.626,618.369,127.115,18
325.797,623.456,127.115,18
325.659,623.543,126.921,18
259.409,615.380,126.921,18
201.324,593.695,126.921,18
143.510,556.531,126.921,18
143.043,556.343,127.220,18
87.504,496.874,127.220,18
30.031,414.867,125.605,18
29.739,414.384,125.603,18
-24.640,314.040,125.603,18
-68.251,218.252,125.603,18
-102.115,114.960,125.603,18
-115.300,62.035,125.603,18